"Step","yolo_tomo_v1 - metrics/mAP_0.5","yolo_tomo_v1 - metrics/mAP_0.5__MIN","yolo_tomo_v1 - metrics/mAP_0.5__MAX","yDICOM4 - metrics/mAP_0.5","yDICOM4 - metrics/mAP_0.5__MIN","yDICOM4 - metrics/mAP_0.5__MAX","yDICOM3 - metrics/mAP_0.5","yDICOM3 - metrics/mAP_0.5__MIN","yDICOM3 - metrics/mAP_0.5__MAX"
"35","0","0","0","0.0046107866278349615","0.0046107866278349615","0.0046107866278349615","0","0","0"
"36","0.003251544269045985","0.003251544269045985","0.003251544269045985","0.0005212703402575963","0.0005212703402575963","0.0005212703402575963","0.00022496947496947499","0.00022496947496947499","0.00022496947496947499"
"37","0.005617690058479533","0.005617690058479533","0.005617690058479533","0","0","0","0.0005772771317829457","0.0005772771317829457","0.0005772771317829457"
"38","0.019556147881150097","0.019556147881150097","0.019556147881150097","0","0","0","0.00031024311054798865","0.00031024311054798865","0.00031024311054798865"
"39","0.03863307243603854","0.03863307243603854","0.03863307243603854","0","0","0","0.00034352673072185274","0.00034352673072185274","0.00034352673072185274"
"40","0.06321283653485396","0.06321283653485396","0.06321283653485396","0","0","0","0.0021493725790505827","0.0021493725790505827","0.0021493725790505827"
"41","0.19392258903335888","0.19392258903335888","0.19392258903335888","0.0012021133954795047","0.0012021133954795047","0.0012021133954795047","0.00034309052202887824","0.00034309052202887824","0.00034309052202887824"
"42","0.19392258903335888","0.19392258903335888","0.19392258903335888","0.001561823593073593","0.001561823593073593","0.001561823593073593","0","0","0"
"43","0.297865682543443","0.297865682543443","0.297865682543443","0.001163328530259366","0.001163328530259366","0.001163328530259366","0","0","0"
"44","0.32862498100646054","0.32862498100646054","0.32862498100646054","0","0","0","0","0","0"
"45","0.3577783673517185","0.3577783673517185","0.3577783673517185","0.0011912004453457396","0.0011912004453457396","0.0011912004453457396","0","0","0"
"46","0.3645019833262759","0.3645019833262759","0.3645019833262759","0","0","0","0.0004036271699315178","0.0004036271699315178","0.0004036271699315178"
"47","0.37824275314799727","0.37824275314799727","0.37824275314799727","0","0","0","0.009817346631862761","0.009817346631862761","0.009817346631862761"
"48","0.39828898522517575","0.39828898522517575","0.39828898522517575","0","0","0","0.01952049180327869","0.01952049180327869","0.01952049180327869"
"49","0.38144449662740215","0.38144449662740215","0.38144449662740215","0","0","0","0.0013390297512691795","0.0013390297512691795","0.0013390297512691795"
