"Step","yolo_tomo_v1 - metrics/recall","yolo_tomo_v1 - metrics/recall__MIN","yolo_tomo_v1 - metrics/recall__MAX","yDICOM4 - metrics/recall","yDICOM4 - metrics/recall__MIN","yDICOM4 - metrics/recall__MAX","yDICOM3 - metrics/recall","yDICOM3 - metrics/recall__MIN","yDICOM3 - metrics/recall__MAX"
"91","0.3958134134134134","0.3958134134134134","0.3958134134134134","0.3833333333333333","0.3833333333333333","0.3833333333333333","0.3","0.3","0.3"
"92","0.5","0.5","0.5","0.3833333333333333","0.3833333333333333","0.3833333333333333","0.3","0.3","0.3"
"93","0.4","0.4","0.4","0.3833333333333333","0.3833333333333333","0.3833333333333333","0.3","0.3","0.3"
"94","0.3","0.3","0.3","0.5825480025480025","0.5825480025480025","0.5825480025480025","0.39954709954709955","0.39954709954709955","0.39954709954709955"
"95","0.3","0.3","0.3","0.5825480025480025","0.5825480025480025","0.5825480025480025","0.39954709954709955","0.39954709954709955","0.39954709954709955"
"96","0.49925750492760806","0.49925750492760806","0.49925750492760806","0.3","0.3","0.3","0.39878069558920626","0.39878069558920626","0.39878069558920626"
"97","0.49969783041678467","0.49969783041678467","0.49969783041678467","0.3996691991829755","0.3996691991829755","0.3996691991829755","0.4","0.4","0.4"
"98","0.5","0.5","0.5","0.39979869979869986","0.39979869979869986","0.39979869979869986","0.4","0.4","0.4"
"99","0.49970064964133765","0.49970064964133765","0.49970064964133765","0.4","0.4","0.4","0.39971195685481403","0.39971195685481403","0.39971195685481403"
"100","0.4998231838395773","0.4998231838395773","0.4998231838395773","0.4","0.4","0.4","0.4","0.4","0.4"
"101","0.4","0.4","0.4","0.39183531357444423","0.39183531357444423","0.39183531357444423","0.4","0.4","0.4"
"102","0.49993993993993996","0.49993993993993996","0.49993993993993996","0.4","0.4","0.4","0.4","0.4","0.4"
"103","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4"
"104","0.583249227188621","0.583249227188621","0.583249227188621","0.39995356034959995","0.39995356034959995","0.39995356034959995","0.4","0.4","0.4"
"105","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.3997915147168879","0.3997915147168879","0.3997915147168879","0.4","0.4","0.4"
"106","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.4","0.4","0.4","0.3994720658668457","0.3994720658668457","0.3994720658668457"
"107","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.39968647218647224","0.39968647218647224","0.39968647218647224","0.4","0.4","0.4"
"108","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.29989274365909063","0.29989274365909063","0.29989274365909063"
"109","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.4","0.4","0.4","0.4","0.4","0.4"
"110","0.7483100384334953","0.7483100384334953","0.7483100384334953","0.4","0.4","0.4","0.4","0.4","0.4"
"111","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.4","0.4","0.4","0.4","0.4","0.4"
"112","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.4","0.4","0.4"
"113","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.399601453305157","0.399601453305157","0.399601453305157"
"114","0.5813722813722815","0.5813722813722815","0.5813722813722815","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.39970533303866634","0.39970533303866634","0.39970533303866634"
"115","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.5666666666666667","0.5666666666666667","0.5666666666666667","0.4","0.4","0.4"
"116","0.48333333333333334","0.48333333333333334","0.48333333333333334","0.5656938419901383","0.5656938419901383","0.5656938419901383","0.3999174432164123","0.3999174432164123","0.3999174432164123"
